lat,lon,ele,time,deltaDistMeters,deltaTimeSeconds,deltaElevationMeters,cumTime,velocityKmPerHour,min,max,cumElevation,cumDistance,elevationGradients,gradientRange
41.020209,28.638809,197.8,2021-10-22 16:20:23,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,"(-1, 1]"
41.020331,28.638653,197.6,2021-10-22 16:20:30,18.870847806053202,7.0,-0.20000000000001705,7.0,9.705007443113077,,,-0.20000000000001705,18.870847806053202,-1.1,"(-3, -1]"
41.020149,28.638487,197.6,2021-10-22 16:21:00,24.5937702702282,30.0,0.0,37.0,2.951252432427384,,,-0.20000000000001705,43.464618076281404,0.0,"(-1, 1]"
41.02021,28.638387,197.5,2021-10-22 16:21:04,10.800502244978745,4.0,-0.09999999999999432,41.0,9.72045202048087,197.5,,-0.30000000000001137,54.26512032126015,-0.9,"(-1, 1]"
41.0204,28.639006,198.3,2021-10-22 16:22:07,31.894405968180635,27.0,0.8000000000000114,104.0,4.252587462424085,,,0.5,86.15952628944078,2.5,"(1, 3]"
41.020448,28.638987,198.3,2021-10-22 16:22:56,5.5765324264844915,49.0,0.0,153.0,0.40970442317028916,,,0.5,91.73605871592527,0.0,"(-1, 1]"
41.020585,28.639057,198.6,2021-10-22 16:23:06,16.344732865020866,10.0,0.29999999999998295,163.0,5.884103831407511,,198.6,0.799999999999983,108.08079158094614,1.8,"(1, 3]"
41.020692,28.639151,198.5,2021-10-22 16:23:10,14.290021403811346,4.0,-0.09999999999999432,167.0,12.861019263430212,,,0.6999999999999886,122.37081298475749,-0.7,"(-1, 1]"
41.020632,28.639175,198.3,2021-10-22 16:23:21,6.976700885563611,11.0,-0.19999999999998863,178.0,2.2832839261844544,,,0.5,129.3475138703211,-2.9,"(-3, -1]"
41.020649,28.639177,198.3,2021-10-22 16:23:27,1.8998715850803356,6.0,0.0,184.0,1.1399229510482014,,,0.5,131.24738545540146,0.0,"(-1, 1]"
41.020677,28.639163,198.5,2021-10-22 16:23:32,3.3313535672059102,5.0,0.19999999999998863,189.0,2.3985745683882556,,,0.6999999999999886,134.57873902260738,6.0,"(5, 10]"
41.020621,28.639119,198.6,2021-10-22 16:23:36,7.246914749870529,4.0,0.09999999999999432,193.0,6.522223274883476,,198.6,0.799999999999983,141.82565377247792,1.4,"(1, 3]"
